Variable Pair,Metric,03:00-03:10,03:10-03:20,03:20-03:30,03:30-03:40,03:40-03:50,03:50-04:00,04:00-04:10,04:10-04:20,04:20-04:30,04:30-04:40,04:40-04:50,04:50-05:00,05:00-05:10,05:10-05:20,05:20-05:30,05:30-05:40,05:40-05:50,05:50-06:00,06:00-06:10,06:10-06:20,06:20-06:30,06:30-06:40,06:40-06:50,06:50-07:00,07:00-07:10,07:10-07:20,07:20-07:30,07:30-07:40,07:40-07:50,07:50-08:00,08:00-08:10,08:10-08:20,08:20-08:30,08:30-08:40,08:40-08:50,08:50-09:00,09:00-09:10,09:10-09:20,09:20-09:30,09:30-09:40,09:40-09:50,09:50-10:00
"('normalized_returns_UNDERLYING_NIFTY', 'normalized_returns_UNDERLYING_ESMINI')",Min,,,,,-0.3503,-0.9319,-0.6761,-0.7348,-0.767,-0.9138,-0.9159,-0.8954,-0.7128,-1.0,-0.8178,-0.8155,-0.8176,-0.8632,-0.8651,-0.7801,-0.8341,-0.7557,-0.844,-0.7685,-0.6917,-0.7939,-0.7763,-0.8074,-0.8905,-0.8515,-0.7873,-0.6996,-0.8482,-0.7758,-0.8019,-0.7639,-0.8259,-0.8106,-0.9203,-0.9016,-0.8057,-0.6526
"('normalized_returns_UNDERLYING_NIFTY', 'normalized_returns_UNDERLYING_ESMINI')",Mean,,,,,0.5994,0.5986,0.5025,0.381,0.3246,0.1824,0.2243,0.2401,0.2584,0.188,0.2281,0.1924,0.2044,0.209,0.1637,0.2467,0.2591,0.2351,0.1374,0.147,0.2395,0.313,0.3156,0.2854,0.3189,0.2707,0.2895,0.2673,0.2821,0.2598,0.2998,0.2729,0.263,0.2505,0.2301,0.1293,0.0877,0.1302
"('normalized_returns_UNDERLYING_NIFTY', 'normalized_returns_UNDERLYING_ESMINI')",Std,,,,,0.2848,0.3716,0.3861,0.4145,0.4101,0.4183,0.4394,0.3922,0.3463,0.3843,0.3731,0.3924,0.3608,0.3895,0.4136,0.3954,0.3911,0.3589,0.3722,0.3746,0.3821,0.3816,0.3769,0.3796,0.3892,0.3957,0.3976,0.3926,0.3739,0.3834,0.3789,0.3545,0.3838,0.3922,0.4368,0.3698,0.4259,0.3328
"('normalized_returns_UNDERLYING_NIFTY', 'normalized_returns_UNDERLYING_ESMINI')",Max,,,,,0.9822,0.9963,0.982,0.9969,0.9936,0.9804,0.9667,0.9464,0.9873,1.0,0.9604,0.964,0.8965,0.92,0.9452,0.9558,0.9444,0.9525,0.8826,0.9449,0.9429,0.9373,0.9542,0.985,0.9695,0.9626,0.9341,0.9637,0.9294,0.958,0.9578,0.9278,0.9304,0.9384,0.9655,0.9091,0.9505,0.8591
"('normalized_returns_UNDERLYING_NIFTY', 'normalized_returns_UNDERLYING_ESMINI')",Avg Abs,,,,,0.6149,0.6457,0.5665,0.4895,0.4489,0.3861,0.4237,0.3909,0.3678,0.3561,0.3675,0.3602,0.3532,0.3767,0.3711,0.4034,0.4043,0.3698,0.3343,0.3385,0.3799,0.4264,0.4277,0.4074,0.4366,0.4043,0.4202,0.4035,0.3943,0.3938,0.4124,0.381,0.4006,0.3914,0.4248,0.3257,0.3648,0.2946
"('normalized_returns_UNDERLYING_NIFTY', 'normalized_returns_UNDERLYING_ESMINI')",Count,0.0,0.0,0.0,0.0,895.0,2017.0,1975.0,1958.0,1880.0,1929.0,1885.0,1887.0,2114.0,2094.0,2278.0,2382.0,2439.0,2447.0,2838.0,2768.0,2791.0,2846.0,2880.0,2908.0,3492.0,3426.0,3482.0,3487.0,3506.0,3453.0,3717.0,3622.0,3567.0,3610.0,3576.0,3535.0,3556.0,3564.0,5231.0,2848.0,2718.0,1579.0
