Variable Pair,Metric,03:00-03:10,03:10-03:20,03:20-03:30,03:30-03:40,03:40-03:50,03:50-04:00,04:00-04:10,04:10-04:20,04:20-04:30,04:30-04:40,04:40-04:50,04:50-05:00,05:00-05:10,05:10-05:20,05:20-05:30,05:30-05:40,05:40-05:50,05:50-06:00,06:00-06:10,06:10-06:20,06:20-06:30,06:30-06:40,06:40-06:50,06:50-07:00,07:00-07:10,07:10-07:20,07:20-07:30,07:30-07:40,07:40-07:50,07:50-08:00,08:00-08:10,08:10-08:20,08:20-08:30,08:30-08:40,08:40-08:50,08:50-09:00,09:00-09:10,09:10-09:20,09:20-09:30,09:30-09:40,09:40-09:50,09:50-10:00
"normalized_returns_UNDERLYING_NIFTY,normalized_returns_UNDERLYING_ESMINI",Min,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"normalized_returns_UNDERLYING_NIFTY,normalized_returns_UNDERLYING_ESMINI",Mean,,,,,0.0056,0.0054,0.0041,0.0026,0.002,0.0018,0.0016,0.0015,0.0014,0.0012,0.0012,0.0012,0.0011,0.001,0.0009,0.0009,0.0008,0.0008,0.0009,0.0009,0.0008,0.0009,0.0008,0.0008,0.0007,0.0007,0.0008,0.0009,0.0008,0.0009,0.0009,0.0009,0.0009,0.0009,0.0007,0.0011,0.0011,0.0009
"normalized_returns_UNDERLYING_NIFTY,normalized_returns_UNDERLYING_ESMINI",Max,,,,,0.0264,0.0362,0.0309,0.0312,0.0172,0.0184,0.0175,0.0171,0.012,0.0119,0.0122,0.0114,0.01,0.0105,0.01,0.0089,0.0066,0.0102,0.0089,0.0123,0.0165,0.0112,0.0124,0.0066,0.0051,0.0122,0.0104,0.0109,0.0061,0.008,0.0083,0.0091,0.0056,0.0118,0.0124,0.0078,0.0156,0.0099
"normalized_returns_UNDERLYING_NIFTY,normalized_returns_UNDERLYING_ESMINI",Std,,,,,0.0046,0.0048,0.004,0.0031,0.0023,0.0021,0.0017,0.0016,0.0014,0.0015,0.0014,0.0013,0.0011,0.0011,0.001,0.0009,0.0008,0.0009,0.0009,0.0011,0.001,0.0009,0.0009,0.0008,0.0006,0.0008,0.0009,0.0009,0.0008,0.0009,0.0009,0.0008,0.0009,0.001,0.0009,0.001,0.0011,0.0009
